Sex,MouseID,Day,Hour,AvgActivity
Female,f10,130,0,31.466666666666665
Female,f10,130,1,56.44164433261241
Female,f10,130,2,70.44995533189149
Female,f10,130,3,63.95
Female,f10,130,4,35.266666666666666
Female,f10,130,5,1.8666666666666667
Female,f10,130,6,15.166666666666666
Female,f10,130,7,22.533333333333335
Female,f10,130,8,11.933333333333334
Female,f10,130,9,31.95
Female,f10,130,10,6.55
Female,f10,130,11,9.416666666666666
Female,f10,130,12,1.0666666666666667
Female,f10,130,13,1.4333333333333333
Female,f10,130,14,0.9833333333333333
Female,f10,130,15,25.55
Female,f10,130,16,49.45
Female,f10,130,17,45.15
Female,f10,130,18,43.93333333333333
Female,f10,130,19,36.5
Female,f10,130,20,3.816666666666667
Female,f10,130,21,1.55
Female,f10,130,22,25.116666666666667
Female,f10,130,23,6.633333333333334
Female,f10,131,0,48.37497766594574
Female,f10,131,1,53.36666666666667
Female,f10,131,2,48.46666666666667
Female,f10,131,3,23.666666666666668
Female,f10,131,4,23.833333333333332
Female,f10,131,5,31.283333333333335
Female,f10,131,6,19.533333333333335
Female,f10,131,7,39.0
Female,f10,131,8,34.88333333333333
Female,f10,131,9,29.483333333333334
Female,f10,131,10,4.633333333333334
Female,f10,131,11,14.0
Female,f10,131,12,2.9
Female,f10,131,13,4.55
Female,f10,131,14,11.8
Female,f10,131,15,16.616666666666667
Female,f10,131,16,2.1666666666666665
Female,f10,131,17,14.333333333333334
Female,f10,131,18,6.95
Female,f10,131,19,5.383333333333334
Female,f10,131,20,14.483333333333333
Female,f10,131,21,3.2333333333333334
Female,f10,131,22,28.966666666666665
Female,f10,131,23,7.783333333333333
Female,f10,132,0,41.65
Female,f10,132,1,40.18333333333333
Female,f10,132,2,41.766666666666666
Female,f10,132,3,37.916666666666664
Female,f10,132,4,43.81666666666667
Female,f10,132,5,39.96666666666667
Female,f10,132,6,55.833333333333336
Female,f10,132,7,45.658310999279074
Female,f10,132,8,50.35
Female,f10,132,9,49.983333333333334
Female,f10,132,10,39.483333333333334
Female,f10,132,11,18.05
Female,f10,132,12,24.933333333333334
Female,f10,132,13,20.316666666666666
Female,f10,132,14,10.816666666666666
Female,f10,132,15,6.05
Female,f10,132,16,2.6333333333333333
Female,f10,132,17,4.75
Female,f10,132,18,8.7
Female,f10,132,19,1.2166666666666666
Female,f10,132,20,3.75
Female,f10,132,21,34.766666666666666
Female,f10,132,22,5.083333333333333
Female,f10,132,23,25.283333333333335
Female,f10,133,0,21.066666666666666
Female,f10,133,1,37.3
Female,f10,133,2,39.3
Female,f10,133,3,18.85
Female,f10,133,4,30.933333333333334
Female,f10,133,5,51.06666666666667
Female,f10,133,6,46.583333333333336
Female,f10,133,7,39.483333333333334
Female,f10,133,8,30.8
Female,f10,133,9,16.966666666666665
Female,f10,133,10,18.05
Female,f10,133,11,15.2
Female,f10,133,12,2.216666666666667
Female,f10,133,13,5.25
Female,f10,133,14,4.183333333333334
Female,f10,133,15,27.95
Female,f10,133,16,1.3833333333333333
Female,f10,133,17,2.033333333333333
Female,f10,133,18,13.433333333333334
Female,f10,133,19,22.766666666666666
Female,f10,133,20,1.8
Female,f10,133,21,22.866666666666667
Female,f10,133,22,5.116666666666666
Female,f10,133,23,26.666666666666668
Female,f10,134,0,28.633333333333333
Female,f10,134,1,51.0
Female,f10,134,2,46.63333333333333
Female,f10,134,3,33.766666666666666
Female,f10,134,4,11.833333333333334
Female,f10,134,5,37.666666666666664
Female,f10,134,6,44.083333333333336
Female,f10,134,7,36.2
Female,f10,134,8,37.75
Female,f10,134,9,2.3333333333333335
Female,f10,134,10,15.583333333333334
Female,f10,134,11,14.683333333333334
Female,f10,134,12,2.066666666666667
Female,f10,134,13,10.0
Female,f10,134,14,8.933333333333334
Female,f10,134,15,8.133333333333333
Female,f10,134,16,6.916666666666667
Female,f10,134,17,2.283333333333333
Female,f10,134,18,19.066666666666666
Female,f10,134,19,1.65
Female,f10,134,20,7.233333333333333
Female,f10,134,21,27.083333333333332
Female,f10,134,22,10.3
Female,f10,134,23,27.483333333333334
Female,f10,135,0,27.666666666666668
Female,f10,135,1,40.483333333333334
Female,f10,135,2,37.5
Female,f10,135,3,33.733333333333334
Female,f10,135,4,32.766666666666666
Female,f10,135,5,28.333333333333332
Female,f10,135,6,32.61666666666667
Female,f10,135,7,30.9
Female,f10,135,8,24.55
